Año,Mes,Departamento,Municipio,Pasajeros Regulares
2012,Agosto,Magdalena,Santa Marta," 40,403 "
2012,Agosto,Meta,La Macarena, 133 
2012,Agosto,Meta,Puerto López, 1 
2012,Agosto,Meta,Villavicencio," 2,705 "
2012,Agosto,Nariño,Ipiales, 278 
2012,Agosto,Nariño,Pasto," 9,544 "
2012,Agosto,Nariño,San Andres de Tumaco," 2,593 "
2012,Agosto,Norte de Santander,Cúcuta," 38,920 "
2012,Agosto,Putumayo,Puerto Asís," 1,910 "
2012,Agosto,Putumayo,Puerto Leguízamo, 483 
2012,Agosto,Putumayo,Villagarzón, 612 
2012,Agosto,Quindío,Armenia," 11,577 "
2012,Agosto,Risaralda,Pereira," 38,793 "
2012,Agosto,San Andrés y Providencia,Providencia, 918 
2012,Agosto,San Andrés y Providencia,San Andrés," 38,569 "
2012,Agosto,Santander,Barrancabermeja," 8,385 "
2012,Agosto,Santander,Bucaramanga," 56,209 "
